TOTD_DATE,MAP_NAME,MAP_UID
,Nelja,x_0pyBqP5Xj1FxHjdcy_hJDeNBa
,Legacy,HyGZRFHqLUENavwNOf63YT3jdua
,Sven,2ueWIsDnjfjNkb67Un3ZPE5QWm8
